arena;exp;maze;starving_cond;habituation_cond;first_choice;tot_time_blue;tot_time_oran;tot_time_neutral;rate_interactions_blue;rate_interactions_oran;max_consec_time_blue;max_consec_time_oran;tot_time_reinforc_obj
6;1;1;starved;unused;orange;723.2869599999999;2058.2146399999997;818.2793599999999;0.3894736842105263;0.6105263157894737;26.066879999999998;103.85376;
6;1;2;starved;unused;orange;425.72455999999994;611.77864;2562.27776;0.5;0.5;21.92928;51.37519999999999;
8;1;0;starved;unused;orange;642.32792;438.44767999999993;2519.0053599999997;0.647887323943662;0.352112676056338;36.583279999999995;24.825599999999998;
8;1;1;starved;unused;orange;424.00055999999995;2348.8120799999997;826.96832;0.35106382978723405;0.648936170212766;29.34248;442.93008;
8;1;2;starved;unused;orange;338.69703999999996;652.63744;2608.4464799999996;0.3888888888888889;0.6111111111111112;37.307359999999996;32.756;
2;2;0;fed;unused;blue;556.3348;460.44591999999994;2583.00024;0.46;0.54;84.85528;55.099039999999995;
2;2;1;fed;unused;orange;1391.7851999999998;2064.86928;143.12648;0.5;0.5;244.91143999999997;641.94864;
2;2;2;fed;unused;orange;661.11952;820.2102399999999;2118.4512;0.4634146341463415;0.5365853658536586;99.75063999999999;60.51239999999999;
7;2;0;fed;unused;blue;221.25815999999998;1686.4512799999998;1692.0715199999997;0.17391304347826086;0.8260869565217391;177.70991999999998;994.26528;
7;2;1;fed;unused;orange;229.63679999999997;3105.8549599999997;264.2892;0.4444444444444444;0.5555555555555556;153.84975999999997;2174.75704;
7;2;2;fed;unused;orange;642.8106399999999;959.8197599999999;1997.1505599999998;0.4166666666666667;0.5833333333333334;285.45991999999995;718.6666399999999;
1;2;0;fed;unused;blue;534.7847999999999;855.1039999999999;2209.89216;0.4134078212290503;0.5865921787709497;21.549999999999997;189.88135999999997;
1;2;1;fed;unused;orange;1150.8044799999998;2054.90456;394.07192;0.43703703703703706;0.562962962962963;204.91464;382.10735999999997;
1;2;2;fed;unused;orange;830.4163199999999;1237.2803199999998;1532.08432;0.4675324675324675;0.5324675324675324;38.134879999999995;46.99623999999999;
0;2;0;fed;unused;blue;1311.8950399999999;1979.6347199999998;308.2512;0.375;0.625;1056.7775199999999;1534.5668799999999;
0;2;1;fed;unused;blue;818.4517599999999;2221.0636799999997;560.2655199999999;0.3466666666666667;0.6533333333333333;131.43776;245.35967999999997;
0;2;2;fed;unused;orange;725.94192;1844.23176;1029.60728;0.47368421052631576;0.5263157894736842;141.43696;986.16248;
3;2;1;fed;unused;orange;1453.09064;2109.45192;37.2384;0.4925373134328358;0.5074626865671642;110.99112;445.96432;
3;2;2;fed;unused;orange;1058.3636;1546.8072799999998;994.6100799999999;0.2972972972972973;0.7027027027027027;465.85927999999996;1033.0897599999998;
5;2;0;fed;unused;blue;100.68159999999999;1138.0123999999998;2361.0869599999996;0.5;0.5;21.377599999999997;369.38424;
5;2;1;fed;unused;orange;1350.99536;1811.09648;437.68911999999995;0.552;0.448;235.08463999999998;178.64087999999998;
5;2;2;fed;unused;blue;150.57415999999998;2117.5547199999996;1331.6520799999998;0.21052631578947367;0.7894736842105263;66.27055999999999;1102.08424;
4;2;0;fed;unused;blue;469.20383999999996;495.16727999999995;2635.40984;0.5172413793103449;0.4827586206896552;35.652319999999996;50.27184;
4;2;1;fed;unused;orange;1584.2180799999999;1745.3431199999998;270.21975999999995;0.5142857142857142;0.4857142857142857;209.84527999999997;214.43112;
4;2;2;fed;unused;orange;492.30544;1632.5245599999998;1474.95096;0.5;0.5;80.99351999999999;486.65072;
6;2;0;fed;unused;blue;1661.3153599999998;764.2836799999999;1174.18192;0.6379310344827587;0.3620689655172414;333.31816;117.47335999999999;
