arena,exp,maze,starving_cond,habituation_cond,first_choice,tot_time_blue,tot_time_oran,tot_time_neutral,rate_interactions_blue,rate_interactions_oran,max_consec_time_blue,max_consec_time_oran,tot_time_reinforc_obj
2,5,0,starved,unused,blue,1964.7048799999998,0.0,1635.0760799999998,1.0,0.0,958.26816,0.0,
2,5,1,starved,unused,orange,251.60055999999997,3101.51048,246.66992,0.27631578947368424,0.7236842105263158,63.23631999999999,440.65439999999995,
7,5,0,starved,orange,orange,325.52567999999997,242.15303999999998,3032.1022399999997,0.7096774193548387,0.2903225806451613,53.650879999999994,50.1684,242.15303999999998
7,5,1,starved,orange,orange,0.03448,2505.5581599999996,1094.18832,0.0,1.0,0.03448,2371.4309599999997,2505.5581599999996
7,5,2,starved,orange,orange,0.0,0.03448,3599.74648,,,0.0,0.03448,0.03448
1,5,0,starved,unused,orange,239.22223999999997,1061.3288799999998,2299.22984,0.5384615384615384,0.46153846153846156,115.33559999999999,879.4123999999999,
1,5,1,starved,unused,orange,1157.2867199999998,1739.30912,703.18512,0.4097560975609756,0.5902439024390244,302.14824,174.29639999999998,
1,5,2,starved,unused,blue,1012.0224799999999,970.6464799999999,1617.1119999999999,0.375,0.625,569.9199199999999,553.36952,
0,5,0,starved,unused,blue,986.6451999999999,1164.7688799999999,1448.3668799999998,0.525,0.475,268.42679999999996,261.87559999999996,
0,5,2,starved,unused,orange,868.51672,852.1387199999999,1879.1255199999998,0.48026315789473684,0.5197368421052632,37.307359999999996,38.65208,
3,5,0,starved,blue,orange,879.17104,668.3603199999999,2052.2495999999996,0.5109489051094891,0.48905109489051096,48.340959999999995,69.54616,879.17104
3,5,1,starved,blue,blue,1517.0855199999999,2042.8365599999997,39.85888,0.3821138211382114,0.6178861788617886,306.56167999999997,179.53735999999998,1517.0855199999999
3,5,2,starved,blue,blue,718.2528799999999,724.01104,2157.5170399999997,0.4268292682926829,0.573170731707317,88.54463999999999,162.81455999999997,718.2528799999999
5,5,0,starved,blue,blue,649.6031999999999,383.03831999999994,2567.13944,0.574468085106383,0.425531914893617,138.19583999999998,117.23199999999999,649.6031999999999
5,5,1,starved,blue,blue,630.8115999999999,1892.2279199999998,1076.74144,0.36585365853658536,0.6341463414634146,29.721759999999996,136.47184,630.8115999999999
5,5,2,starved,blue,blue,327.28416,421.34559999999993,2851.1512,0.417910447761194,0.582089552238806,45.06536,29.480399999999996,327.28416
4,5,0,starved,blue,blue,463.68703999999997,562.024,2574.06992,0.4583333333333333,0.5416666666666666,63.305279999999996,110.57735999999998,463.68703999999997
4,5,1,starved,blue,orange,908.8583199999999,2353.32896,337.59367999999995,0.4304635761589404,0.5695364238410596,54.40944,210.87967999999998,908.8583199999999
6,5,0,starved,orange,orange,29.273519999999998,182.39919999999998,3388.1082399999996,0.2,0.8,14.343679999999999,38.238319999999995,182.39919999999998
6,5,2,starved,orange,orange,499.47727999999995,1166.66528,1933.6383999999998,0.42857142857142855,0.5714285714285714,143.50575999999998,961.992,1166.66528
8,5,0,starved,orange,blue,440.65439999999995,453.68783999999994,2705.4387199999996,0.47560975609756095,0.524390243902439,38.65208,31.376799999999996,453.68783999999994
8,5,1,starved,orange,blue,0.06896,0.0,3599.7119999999995,,,0.03448,0.0,0.0
8,5,2,starved,orange,orange,179.50287999999998,149.33288,3270.9451999999997,0.3333333333333333,0.6666666666666666,94.99239999999999,83.37263999999999,149.33288
2,2,0,starved,unused,blue,556.3348,460.44591999999994,2583.00024,0.46,0.54,84.85528,55.099039999999995,
2,2,1,starved,unused,orange,1391.7851999999998,2064.86928,143.12648,0.5,0.5,244.91143999999997,641.94864,
2,2,2,starved,unused,orange,661.11952,820.2102399999999,2118.4512,0.4634146341463415,0.5365853658536586,99.75063999999999,60.51239999999999,
7,2,0,starved,orange,blue,221.25815999999998,1686.4512799999998,1692.0715199999997,0.17391304347826086,0.8260869565217391,177.70991999999998,994.26528,1686.4512799999998
7,2,1,starved,orange,orange,229.63679999999997,3105.8549599999997,264.2892,0.4444444444444444,0.5555555555555556,153.84975999999997,2174.75704,3105.8549599999997
7,2,2,starved,orange,orange,642.8106399999999,959.8197599999999,1997.1505599999998,0.4166666666666667,0.5833333333333334,285.45991999999995,718.6666399999999,959.8197599999999
1,2,0,starved,unused,blue,534.7847999999999,855.1039999999999,2209.89216,0.4134078212290503,0.5865921787709497,21.549999999999997,189.88135999999997,
1,2,1,starved,unused,orange,1150.8044799999998,2054.90456,394.07192,0.43703703703703706,0.562962962962963,204.91464,382.10735999999997,
1,2,2,starved,unused,orange,830.4163199999999,1237.2803199999998,1532.08432,0.4675324675324675,0.5324675324675324,38.134879999999995,46.99623999999999,
0,2,0,starved,unused,blue,1311.8950399999999,1979.6347199999998,308.2512,0.375,0.625,1056.7775199999999,1534.5668799999999,
0,2,1,starved,unused,blue,818.4517599999999,2221.0636799999997,560.2655199999999,0.3466666666666667,0.6533333333333333,131.43776,245.35967999999997,
0,2,2,starved,unused,orange,725.94192,1844.23176,1029.60728,0.47368421052631576,0.5263157894736842,141.43696,986.16248,
3,2,1,starved,blue,orange,1453.09064,2109.45192,37.2384,0.4925373134328358,0.5074626865671642,110.99112,445.96432,1453.09064
3,2,2,starved,blue,orange,1058.3636,1546.8072799999998,994.6100799999999,0.2972972972972973,0.7027027027027027,465.85927999999996,1033.0897599999998,1058.3636
5,2,0,starved,blue,blue,100.68159999999999,1138.0123999999998,2361.0869599999996,0.5,0.5,21.377599999999997,369.38424,100.68159999999999
5,2,1,starved,blue,orange,1350.99536,1811.09648,437.68911999999995,0.552,0.448,235.08463999999998,178.64087999999998,1350.99536
5,2,2,starved,blue,blue,150.57415999999998,2117.5547199999996,1331.6520799999998,0.21052631578947367,0.7894736842105263,66.27055999999999,1102.08424,150.57415999999998
4,2,0,starved,blue,blue,469.20383999999996,495.16727999999995,2635.40984,0.5172413793103449,0.4827586206896552,35.652319999999996,50.27184,469.20383999999996
4,2,1,starved,blue,orange,1584.2180799999999,1745.3431199999998,270.21975999999995,0.5142857142857142,0.4857142857142857,209.84527999999997,214.43112,1584.2180799999999
4,2,2,starved,blue,orange,492.30544,1632.5245599999998,1474.95096,0.5,0.5,80.99351999999999,486.65072,492.30544
6,2,0,starved,orange,blue,1661.3153599999998,764.2836799999999,1174.18192,0.6379310344827587,0.3620689655172414,333.31816,117.47335999999999,764.2836799999999
6,2,1,starved,orange,orange,1405.33584,2114.72736,79.71776,0.40540540540540543,0.5945945945945946,973.30144,816.2105599999999,2114.72736
6,2,2,starved,orange,blue,116.12863999999999,0.0,3483.6523199999997,1.0,0.0,67.44287999999999,0.0,0.0
8,2,0,starved,orange,orange,249.18695999999997,2067.0415199999998,1283.5524799999998,0.3076923076923077,0.6923076923076923,84.44152,433.75839999999994,2067.0415199999998
8,2,1,starved,orange,blue,0.03448,3395.4179999999997,204.32847999999998,0.0,1.0,0.03448,3368.79944,3395.4179999999997
8,2,2,starved,orange,blue,406.38127999999995,940.6143999999999,2252.7852799999996,0.1935483870967742,0.8064516129032258,332.90439999999995,284.90824,940.6143999999999
2,4,0,fed,unused,orange,709.5639199999999,1209.35152,1680.8655199999998,0.4625,0.5375,85.78623999999999,279.66727999999995,
2,4,1,fed,unused,orange,1071.3625599999998,1920.2256799999998,608.1927199999999,0.4440894568690096,0.5559105431309904,37.68664,106.37079999999999,
2,4,2,fed,unused,blue,744.6645599999999,447.51591999999994,2407.6004799999996,0.38636363636363635,0.6136363636363636,555.71416,99.50927999999999,
7,4,1,fed,orange,orange,0.0,0.03448,3599.74648,,,0.0,0.03448,0.03448
7,4,2,fed,orange,orange,11.309439999999999,2264.8877599999996,1323.58376,0.07692307692307693,0.9230769230769231,11.068079999999998,1865.0231999999999,2264.8877599999996
1,4,0,fed,unused,orange,992.57576,807.2112799999999,1799.99392,0.5277777777777778,0.4722222222222222,104.02615999999999,62.99495999999999,
